"locationid","location","iso3","time","population","gdp","longitude","latitude"
68,"Bolivia (Plurinational State of)","BOL",2000,8592656,997.575740356919,-63.588653564453125,-16.29015350341797
68,"Bolivia (Plurinational State of)","BOL",2010,10223270,1955.47695978022,-63.588653564453125,-16.29015350341797
68,"Bolivia (Plurinational State of)","BOL",2020,11936162,3133.10195045546,-63.588653564453125,-16.29015350341797
70,"Bosnia and Herzegovina","BIH",1990,4494311,1737.40118290379,17.679075241088867,43.91588592529297
70,"Bosnia and Herzegovina","BIH",2000,4179350,1484.27427637933,17.679075241088867,43.91588592529297
70,"Bosnia and Herzegovina","BIH",2010,3811088,4635.39349450601,17.679075241088867,43.91588592529297
70,"Bosnia and Herzegovina","BIH",2020,3318408,6035.47556857475,17.679075241088867,43.91588592529297
72,"Botswana","BWA",1990,1341474,2891.98895158063,24.68486595153809,-22.328474044799805
72,"Botswana","BWA",2000,1726985,3522.29774668399,24.68486595153809,-22.328474044799805
72,"Botswana","BWA",2010,2091664,6434.79449971516,24.68486595153809,-22.328474044799805
72,"Botswana","BWA",2020,2546402,6710.96014700365,24.68486595153809,-22.328474044799805
76,"Brazil","BRA",1990,150706446,2730.79336257084,-51.9252815246582,-14.235004425048828
76,"Brazil","BRA",2000,175873720,3732.24339826152,-51.9252815246582,-14.235004425048828
76,"Brazil","BRA",2010,196353492,11286.0716556268,-51.9252815246582,-14.235004425048828
76,"Brazil","BRA",2020,213196304,6796.84405807973,-51.9252815246582,-14.235004425048828
84,"Belize","BLZ",1990,182590,2393.86646903259,-88.49765014648438,17.189876556396484
84,"Belize","BLZ",2000,240406,3364.42376928209,-88.49765014648438,17.189876556396484
84,"Belize","BLZ",2010,322107,4304.1244557532,-88.49765014648438,17.189876556396484
84,"Belize","BLZ",2020,394921,3987.72639376503,-88.49765014648438,17.189876556396484
90,"Solomon Islands","SLB",1990,324171,667.350084013715,160.15618896484375,-9.645709991455078
90,"Solomon Islands","SLB",2000,429979,993.905288253365,160.15618896484375,-9.645709991455078
90,"Solomon Islands","SLB",2010,540394,1709.82143911263,160.15618896484375,-9.645709991455078
90,"Solomon Islands","SLB",2020,691191,2250.56375686668,160.15618896484375,-9.645709991455078
92,"British Virgin Islands","VGB",1990,15617,6855.02144204929,-64.63996887207031,18.42069435119629
92,"British Virgin Islands","VGB",2000,20104,42224.9635173059,-64.63996887207031,18.42069435119629
92,"British Virgin Islands","VGB",2010,27556,40085.2702022019,-64.63996887207031,18.42069435119629
92,"British Virgin Islands","VGB",2020,30910,49357.193079951,-64.63996887207031,18.42069435119629
96,"Brunei Darussalam","BRN",1990,261928,15076.8681653186,114.72766876220705,4.535276889801025
96,"Brunei Darussalam","BRN",2000,333927,19959.2066754733,114.72766876220705,4.535276889801025
96,"Brunei Darussalam","BRN",2010,396053,35268.8983528461,114.72766876220705,4.535276889801025
96,"Brunei Darussalam","BRN",2020,441725,27436.7415145183,114.72766876220705,4.535276889801025
100,"Bulgaria","BGR",1990,8767778,2344.18660330234,25.48583030700684,42.733882904052734
100,"Bulgaria","BGR",2000,8097692,1656.17290688974,25.48583030700684,42.733882904052734
100,"Bulgaria","BGR",2010,7592273,6825.90005249396,25.48583030700684,42.733882904052734
100,"Bulgaria","BGR",2020,6979175,10058.0774071682,25.48583030700684,42.733882904052734
104,"Myanmar","MMR",1990,40099553,149.338683407072,95.95597076416016,21.916221618652344
104,"Myanmar","MMR",2000,45538332,186.09423868466,95.95597076416016,21.916221618652344
104,"Myanmar","MMR",2010,49390988,886.298628258991,95.95597076416016,21.916221618652344
104,"Myanmar","MMR",2020,53423198,1291.74896818633,95.95597076416016,21.916221618652344
108,"Burundi","BDI",1990,5483794,211.128693024433,29.918886184692383,-3.373055934906006
108,"Burundi","BDI",2000,6307660,111.165947186471,29.918886184692383,-3.373055934906006
108,"Burundi","BDI",2010,9126606,234.23592149611,29.918886184692383,-3.373055934906006
108,"Burundi","BDI",2020,12220227,285.875781832036,29.918886184692383,-3.373055934906006
