locationid,location,iso3,time,population,gdp,longitude,latitude,popGrowth,gdpGrowth
4,Afghanistan,AFG,2020,38972231,508.453721937094,67.70995330810547,33.939109802246094,-0.45275519095523953,0.7830830055576437
4,Afghanistan,AFG,2010,28189672,503.636605605884,67.70995330810547,33.939109802246094,-0.3067325153694587,-0.6806631503515398
4,Afghanistan,AFG,2000,19542983,160.829727001827,67.70995330810547,33.939109802246094,-0.27667286997246837,-0.009474050682248672
4,Afghanistan,AFG,1990,10694796,286.772753005433,67.70995330810547,33.939109802246094,0.0,0.0
8,Albania,ALB,2020,2866849,5180.91419760391,20.16833114624023,41.1533317565918,0.03552616403222983,-0.41410946091314055
8,Albania,ALB,2010,2913400,4045.74465139427,20.16833114624023,41.1533317565918,0.09220189469348528,-0.7245218199259069
8,Albania,ALB,2000,3182021,1114.51437361059,20.16833114624023,41.1533317565918,0.016237688137742866,-0.2191060308882625
8,Albania,ALB,1990,3295066,652.983427174762,20.16833114624023,41.1533317565918,0.0,0.0
12,Algeria,DZA,2020,43451666,3367.96300289719,1.659626007080078,28.033885955810547,-0.1708078549529497,0.36128296218765144
12,Algeria,DZA,2010,35856344,4480.78682343691,1.659626007080078,28.033885955810547,-0.14172451602985514,-0.6069777322934194
12,Algeria,DZA,2000,30774621,1761.04899845694,1.659626007080078,28.033885955810547,-0.17479932760230643,0.33041450264817224
12,Algeria,DZA,1990,25518074,2397.28599717706,1.659626007080078,28.033885955810547,0.0,0.0
20,Andorra,AND,2020,77700,37072.4053843701,1.521800994873046,42.50628662109375,-0.18953674846440136,0.09297535079224947
20,Andorra,AND,2010,71520,40812.3909264586,1.521800994873046,42.50628662109375,-0.07581096196868009,-0.4645210209064748
20,Andorra,AND,2000,66098,21854.1774276659,1.521800994873046,42.50628662109375,-0.07953667953667953,0.10088327162243688
20,Andorra,AND,1990,53570,23886.0772402792,1.521800994873046,42.50628662109375,0.0,0.0
24,Angola,AGO,2020,33428486,1895.77070283724,17.873886108398438,-11.202692031860352,-0.27848034245570136,0.5486482432311127
24,Angola,AGO,2010,23364186,3587.88304121492,17.873886108398438,-11.202692031860352,-0.29832513745610484,-0.7924802997042155
24,Angola,AGO,2000,16394062,744.556413409248,17.873886108398438,-11.202692031860352,-0.30106957281882285,0.8925722587891238
24,Angola,AGO,1990,11828638,1153.05598161269,17.873886108398438,-11.202692031860352,0.0,0.0
660,Anguilla,AIA,2020,15585,17225.9375285437,-63.0686149597168,18.22055435180664,-0.15624542002531477,-0.2873731106709113
660,Anguilla,AIA,2010,13172,20056.4457894418,-63.0686149597168,18.22055435180664,-0.12416126961899761,-0.2098037195271253
660,Anguilla,AIA,2000,11048,13352.0959895196,-63.0686149597168,18.22055435180664,-0.0752072002072002,-0.0674652700542471
660,Anguilla,AIA,1990,8316,8495.53437131929,-63.0686149597168,18.22055435180664,0.0,0.0
28,Antigua and Barbuda,ATG,2020,92664,13993.3201794346,-61.78918,17.07867,-0.09309763444410163,0.386393279957799
28,Antigua and Barbuda,ATG,2010,85695,13049.2570545735,-61.78918,17.07867,-0.11333149222767974,-0.8891782987700332
28,Antigua and Barbuda,ATG,2000,75055,10311.4743874584,-61.78918,17.07867,-0.10187194863641062,0.39385877332556085
28,Antigua and Barbuda,ATG,1990,63328,7348.23391713105,-61.78918,17.07867,0.0,0.0
32,Argentina,ARG,2020,45036032,8475.72958198985,-63.61667251586914,-38.41609573364258,-0.11958522905402515,-0.4380793135508543
32,Argentina,ARG,2010,41100123,10428.6487964443,-63.61667251586914,-38.41609573364258,-0.09803739516789281,-0.19860019451729774
32,Argentina,ARG,2000,37070774,8357.51711691788,-63.61667251586914,-38.41609573364258,-0.0873946665638749,0.23041311022997066
32,Argentina,ARG,1990,32637657,4696.26175534898,-63.61667251586914,-38.41609573364258,0.0,0.0
51,Armenia,ARM,2020,2805609,4266.00547864783,45.03818893432618,40.06909942626953,-0.10358417460376802,-0.11371639030044073
51,Armenia,ARM,2010,2946293,3432.1456116214,45.03818893432618,40.06909942626953,-0.13629969414377083,-0.6330320441964559
51,Armenia,ARM,2000,3168524,664.106326485467,45.03818893432618,40.06909942626953,-0.142223402672632,0.05072131763754732
51,Armenia,ARM,1990,3556540,650.539689505731,45.03818893432618,40.06909942626953,0.0,0.0
533,Aruba,ABW,2020,106585,23385.6386707755,-69.96833801269531,12.521109580993652,-0.04140851881965373,-0.11630747499694254
533,Aruba,ABW,2010,100342,24133.1946351703,-69.96833801269531,12.521109580993652,-0.042138850381850446,-0.4766215468504215
533,Aruba,ABW,2000,89101,20620.7006259175,-69.96833801269531,12.521109580993652,-0.06117665496116483,-0.03132534076281636
533,Aruba,ABW,1990,65712,13770.1370134901,-69.96833801269531,12.521109580993652,0.0,0.0
36,Australia,AUS,2020,25670051,55822.7128453068,133.77513122558594,-25.274398803710938,-0.16717741389601679,-0.313336799824305
36,Australia,AUS,2010,22019169,58654.1143949232,133.77513122558594,-25.274398803710938,-0.1292837394714846,-0.04731513074911957
36,Australia,AUS,2000,19017963,21524.1804589722,133.77513122558594,-25.274398803710938,-0.08167844279556771,0.12896697054456288
36,Australia,AUS,1990,17048003,19076.5283530026,133.77513122558594,-25.274398803710938,0.0,0.0
40,Austria,AUT,2020,8907777,48105.6319825656,14.550071716308594,47.516231536865234,-0.27271794468136545,-0.2740891192264058
40,Austria,AUT,2010,8362829,46598.7066681011,14.550071716308594,47.516231536865234,-0.4137972800942615,-0.341940066949237
40,Austria,AUT,2000,8010429,24388.7590147217,14.550071716308594,47.516231536865234,-0.17856482944819824,0.04000680683607761
