locationid,location,iso3,time,population
670,Saint Vincent and the Grenadines,VCT,2010,109308
670,Saint Vincent and the Grenadines,VCT,2020,104633
674,San Marino,SMR,1990,23132
674,San Marino,SMR,2000,26823
674,San Marino,SMR,2010,31608
674,San Marino,SMR,2020,34007
678,Sao Tome and Principe,STP,1990,120343
678,Sao Tome and Principe,STP,2000,143714
678,Sao Tome and Principe,STP,2010,182139
678,Sao Tome and Principe,STP,2020,218641
682,Saudi Arabia,SAU,1990,16004763
682,Saudi Arabia,SAU,2000,21547390
682,Saudi Arabia,SAU,2010,29411929
682,Saudi Arabia,SAU,2020,35997107
686,Senegal,SEN,1990,7536001
686,Senegal,SEN,2000,9704287
686,Senegal,SEN,2010,12530122
686,Senegal,SEN,2020,16436120
688,Serbia,SRB,1990,7987529
688,Serbia,SRB,2000,7935022
688,Serbia,SRB,2010,7653749
688,Serbia,SRB,2020,7358005
690,Seychelles,SYC,1990,71057
690,Seychelles,SYC,2000,80060
690,Seychelles,SYC,2010,92409
690,Seychelles,SYC,2020,105530
694,Sierra Leone,SLE,1990,4325388
694,Sierra Leone,SLE,2000,4584067
694,Sierra Leone,SLE,2010,6436698
694,Sierra Leone,SLE,2020,8233970
702,Singapore,SGP,1990,3022209
702,Singapore,SGP,2000,4053603
702,Singapore,SGP,2010,5163590
702,Singapore,SGP,2020,5909870
703,Slovakia,SVK,1990,5261305
703,Slovakia,SVK,2000,5376690
703,Slovakia,SVK,2010,5396424
703,Slovakia,SVK,2020,5456681
704,Viet Nam,VNM,1990,66912613
704,Viet Nam,VNM,2000,79001142
704,Viet Nam,VNM,2010,87411012
704,Viet Nam,VNM,2020,96648685
705,Slovenia,SVN,1990,1986024
705,Slovenia,SVN,2000,1984339
705,Slovenia,SVN,2010,2057288
705,Slovenia,SVN,2020,2117641
706,Somalia,SOM,1990,6999096
706,Somalia,SOM,2000,8721465
706,Somalia,SOM,2010,12026650
706,Somalia,SOM,2020,16537016
710,South Africa,ZAF,1990,39877570
710,South Africa,ZAF,2000,46813266
710,South Africa,ZAF,2010,51784922
710,South Africa,ZAF,2020,58801927
716,Zimbabwe,ZWE,1990,10113893
716,Zimbabwe,ZWE,2000,11834677
716,Zimbabwe,ZWE,2010,12839771
716,Zimbabwe,ZWE,2020,15669666
724,Spain,ESP,1990,38889889
724,Spain,ESP,2000,40741652
724,Spain,ESP,2010,46572773
724,Spain,ESP,2020,47363807
728,South Sudan,SSD,1990,4750817
728,South Sudan,SSD,2000,6114441
728,South Sudan,SSD,2010,9714420
728,South Sudan,SSD,2020,10606227
729,Sudan,SDN,1990,21090886
729,Sudan,SDN,2000,26298773
729,Sudan,SDN,2010,33739933
729,Sudan,SDN,2020,44440486
732,Western Sahara,ESH,1990,178529
732,Western Sahara,ESH,2000,270375
732,Western Sahara,ESH,2010,413297
732,Western Sahara,ESH,2020,556048
740,Suriname,SUR,1990,412756
740,Suriname,SUR,2000,478999
740,Suriname,SUR,2010,546080
740,Suriname,SUR,2020,607065
748,Eswatini,SWZ,1990,854011
748,Eswatini,SWZ,2000,1030497
748,Eswatini,SWZ,2010,1099920
748,Eswatini,SWZ,2020,1180655
752,Sweden,SWE,1990,8548406
752,Sweden,SWE,2000,8871044
752,Sweden,SWE,2010,9381730
752,Sweden,SWE,2020,10368970
756,Switzerland,CHE,1990,6711693
756,Switzerland,CHE,2000,7182059
756,Switzerland,CHE,2010,7822436
756,Switzerland,CHE,2020,8638613
760,Syrian Arab Republic,SYR,1990,12408997
760,Syrian Arab Republic,SYR,2000,16307654
760,Syrian Arab Republic,SYR,2010,22337563
760,Syrian Arab Republic,SYR,2020,20772596
762,Tajikistan,TJK,1990,5417861
762,Tajikistan,TJK,2000,6272999
762,Tajikistan,TJK,2010,7621780
762,Tajikistan,TJK,2020,9543207
764,Thailand,THA,1990,55228410
764,Thailand,THA,2000,63066603
764,Thailand,THA,2010,68270490
764,Thailand,THA,2020,71475665
768,Togo,TGO,1990,3875947
768,Togo,TGO,2000,5008036
768,Togo,TGO,2010,6571855
768,Togo,TGO,2020,8442580
772,Tokelau,TKL,1990,1669
772,Tokelau,TKL,2000,1666
772,Tokelau,TKL,2010,1367
772,Tokelau,TKL,2020,1827
776,Tonga,TON,1990,98727
776,Tonga,TON,2000,102603
776,Tonga,TON,2010,107384
776,Tonga,TON,2020,105254
780,Trinidad and Tobago,TTO,1990,1266519
780,Trinidad and Tobago,TTO,2000,1332203
780,Trinidad and Tobago,TTO,2010,1410296
780,Trinidad and Tobago,TTO,2020,1518147
784,United Arab Emirates,ARE,1990,1900152
784,United Arab Emirates,ARE,2000,3275333
784,United Arab Emirates,ARE,2010,8481771
784,United Arab Emirates,ARE,2020,9287289
788,Tunisia,TUN,1990,8440024
788,Tunisia,TUN,2000,9893316
788,Tunisia,TUN,2010,10895063
788,Tunisia,TUN,2020,12161723
792,Türkiye,TUR,1990,54324142
792,Türkiye,TUR,2000,64113547
792,Türkiye,TUR,2010,73195345
792,Türkiye,TUR,2020,84135428
795,Turkmenistan,TKM,1990,3720279
795,Turkmenistan,TKM,2000,4569132
795,Turkmenistan,TKM,2010,5267970
795,Turkmenistan,TKM,2020,6250438
796,Turks and Caicos Islands,TCA,1990,11709
796,Turks and Caicos Islands,TCA,2000,18745
796,Turks and Caicos Islands,TCA,2010,29726
796,Turks and Caicos Islands,TCA,2020,44277
798,Tuvalu,TUV,1990,9183
798,Tuvalu,TUV,2000,9638
798,Tuvalu,TUV,2010,10550
798,Tuvalu,TUV,2020,11069
800,Uganda,UGA,1990,17586630
800,Uganda,UGA,2000,24020698
800,Uganda,UGA,2010,32341728
800,Uganda,UGA,2020,44404611
804,Ukraine,UKR,1990,51589817
804,Ukraine,UKR,2000,48879756
804,Ukraine,UKR,2010,45683020
804,Ukraine,UKR,2020,43909667
807,North Macedonia,MKD,1990,2044174
807,North Macedonia,MKD,2000,2037936
807,North Macedonia,MKD,2010,2093828
807,North Macedonia,MKD,2020,2111072
818,Egypt,EGY,1990,57214631
818,Egypt,EGY,2000,71371372
818,Egypt,EGY,2010,87252414
818,Egypt,EGY,2020,107465134
826,United Kingdom,GBR,1990,57210443
826,United Kingdom,GBR,2000,58850044
826,United Kingdom,GBR,2010,62760039
826,United Kingdom,GBR,2020,67059474
831,Guernsey,GGY,1990,57728
831,Guernsey,GGY,2000,59114
831,Guernsey,GGY,2010,60782
831,Guernsey,GGY,2020,62794
832,Jersey,JEY,1990,82874
832,Jersey,JEY,2000,86193
832,Jersey,JEY,2010,96151
832,Jersey,JEY,2020,108319
833,Isle of Man,IMN,1990,68866
833,Isle of Man,IMN,2000,75562
833,Isle of Man,IMN,2010,83828
833,Isle of Man,IMN,2020,84046
834,United Republic of Tanzania,TZA,1990,26206012
834,United Republic of Tanzania,TZA,2000,34463704
834,United Republic of Tanzania,TZA,2010,45110528
834,United Republic of Tanzania,TZA,2020,61704518
840,United States of America,USA,1990,248083732
840,United States of America,USA,2000,282398554
840,United States of America,USA,2010,311182845
840,United States of America,USA,2020,335942004
850,United States Virgin Islands,VIR,1990,100685
850,United States Virgin Islands,VIR,2000,108185
850,United States Virgin Islands,VIR,2010,106142
850,United States Virgin Islands,VIR,2020,100443
854,Burkina Faso,BFA,1990,9131361
854,Burkina Faso,BFA,2000,11882888
854,Burkina Faso,BFA,2010,16116845
854,Burkina Faso,BFA,2020,21522626
858,Uruguay,URY,1990,3117013
858,Uruguay,URY,2000,3292225
858,Uruguay,URY,2010,3352651
858,Uruguay,URY,2020,3429087
860,Uzbekistan,UZB,1990,20579100
860,Uzbekistan,UZB,2000,24925555
860,Uzbekistan,UZB,2010,28614227
860,Uzbekistan,UZB,2020,33526656
862,Venezuela (Bolivarian Republic of),VEN,1990,19750579
862,Venezuela (Bolivarian Republic of),VEN,2000,24427729
862,Venezuela (Bolivarian Republic of),VEN,2010,28715022
862,Venezuela (Bolivarian Republic of),VEN,2020,28490454
876,Wallis and Futuna Islands,WLF,1990,13455
876,Wallis and Futuna Islands,WLF,2000,14723
876,Wallis and Futuna Islands,WLF,2010,13142
876,Wallis and Futuna Islands,WLF,2020,11655
882,Samoa,WSM,1990,168186
882,Samoa,WSM,2000,184008
882,Samoa,WSM,2010,194672
882,Samoa,WSM,2020,214930
887,Yemen,YEM,1990,13375121
887,Yemen,YEM,2000,18628701
887,Yemen,YEM,2010,24743946
887,Yemen,YEM,2020,32284046
894,Zambia,ZMB,1990,7686401
894,Zambia,ZMB,2000,9891136
894,Zambia,ZMB,2010,13792087
894,Zambia,ZMB,2020,18927715
