locationid,location,iso3,time,population
158,"China, Taiwan Province of China",TWN,2010,23083083
158,"China, Taiwan Province of China",TWN,2020,23821465
170,Colombia,COL,1990,32601393
170,Colombia,COL,2000,39215136
170,Colombia,COL,2010,44816108
170,Colombia,COL,2020,50930663
174,Comoros,COM,1990,431119
174,Comoros,COM,2000,536758
174,Comoros,COM,2010,656024
174,Comoros,COM,2020,806166
175,Mayotte,MYT,1990,92659
175,Mayotte,MYT,2000,159216
175,Mayotte,MYT,2010,211786
175,Mayotte,MYT,2020,305587
178,Congo,COG,1990,2385435
178,Congo,COG,2000,3134030
178,Congo,COG,2010,4437884
178,Congo,COG,2020,5702174
180,Dem. Rep. of the Congo,COD,1990,35987541
180,Dem. Rep. of the Congo,COD,2000,48616317
180,Dem. Rep. of the Congo,COD,2010,66391257
180,Dem. Rep. of the Congo,COD,2020,92853165
184,Cook Islands,COK,1990,17123
184,Cook Islands,COK,2000,15897
184,Cook Islands,COK,2010,17212
184,Cook Islands,COK,2020,17029
188,Costa Rica,CRI,1990,3158254
188,Costa Rica,CRI,2000,3979193
188,Costa Rica,CRI,2010,4622252
188,Costa Rica,CRI,2020,5123105
191,Croatia,HRV,1990,4873707
191,Croatia,HRV,2000,4548434
191,Croatia,HRV,2010,4368682
191,Croatia,HRV,2020,4096870
192,Cuba,CUB,1990,10626680
192,Cuba,CUB,2000,11105791
192,Cuba,CUB,2010,11290418
192,Cuba,CUB,2020,11300698
196,Cyprus,CYP,1990,788500
196,Cyprus,CYP,2000,948238
196,Cyprus,CYP,2010,1129686
196,Cyprus,CYP,2020,1237537
203,Czechia,CZE,1990,10301193
203,Czechia,CZE,2000,10234710
203,Czechia,CZE,2010,10464749
203,Czechia,CZE,2020,10530954
204,Benin,BEN,1990,5133420
204,Benin,BEN,2000,6998023
204,Benin,BEN,2010,9445710
204,Benin,BEN,2020,12643123
208,Denmark,DNK,1990,5144624
208,Denmark,DNK,2000,5340655
208,Denmark,DNK,2010,5550849
208,Denmark,DNK,2020,5825641
212,Dominica,DMA,1990,69482
212,Dominica,DMA,2000,68346
212,Dominica,DMA,2010,68755
212,Dominica,DMA,2020,71995
214,Dominican Republic,DOM,1990,7129004
214,Dominican Republic,DOM,2000,8540792
214,Dominican Republic,DOM,2010,9775755
214,Dominican Republic,DOM,2020,10999664
218,Ecuador,ECU,1990,10449838
218,Ecuador,ECU,2000,12626507
218,Ecuador,ECU,2010,14989586
218,Ecuador,ECU,2020,17588596
222,El Salvador,SLV,1990,5367179
222,El Salvador,SLV,2000,5958482
222,El Salvador,SLV,2010,6114035
222,El Salvador,SLV,2020,6292731
226,Equatorial Guinea,GNQ,1990,465549
226,Equatorial Guinea,GNQ,2000,684977
226,Equatorial Guinea,GNQ,2010,1094525
226,Equatorial Guinea,GNQ,2020,1596049
231,Ethiopia,ETH,1990,47878074
231,Ethiopia,ETH,2000,67031867
231,Ethiopia,ETH,2010,89237791
231,Ethiopia,ETH,2020,117190911
232,Eritrea,ERI,1990,2149960
232,Eritrea,ERI,2000,2392880
232,Eritrea,ERI,2010,3147727
232,Eritrea,ERI,2020,3555868
233,Estonia,EST,1990,1570674
233,Estonia,EST,2000,1396877
233,Estonia,EST,2010,1331535
233,Estonia,EST,2020,1329444
234,Faroe Islands,FRO,1990,47479
234,Faroe Islands,FRO,2000,45660
234,Faroe Islands,FRO,2010,48410
234,Faroe Islands,FRO,2020,52415
238,Falkland Islands (Malvinas),FLK,1990,2332
238,Falkland Islands (Malvinas),FLK,2000,3080
238,Falkland Islands (Malvinas),FLK,2010,3187
238,Falkland Islands (Malvinas),FLK,2020,3747
242,Fiji,FJI,1990,780430
242,Fiji,FJI,2000,832509
242,Fiji,FJI,2010,905170
242,Fiji,FJI,2020,920422
246,Finland,FIN,1990,4986545
246,Finland,FIN,2000,5176209
246,Finland,FIN,2010,5363272
246,Finland,FIN,2020,5529468
250,France,FRA,1990,56412897
250,France,FRA,2000,58665453
250,France,FRA,2010,62444567
250,France,FRA,2020,64480053
254,French Guiana,GUF,1990,113932
254,French Guiana,GUF,2000,164352
254,French Guiana,GUF,2010,228454
254,French Guiana,GUF,2020,290970
258,French Polynesia,PYF,1990,211090
258,French Polynesia,PYF,2000,250927
258,French Polynesia,PYF,2010,283788
258,French Polynesia,PYF,2020,301920
262,Djibouti,DJI,1990,577174
262,Djibouti,DJI,2000,742033
262,Djibouti,DJI,2010,919200
262,Djibouti,DJI,2020,1090156
266,Gabon,GAB,1990,983028
266,Gabon,GAB,2000,1272935
266,Gabon,GAB,2010,1711105
266,Gabon,GAB,2020,2292573
268,Georgia,GEO,1990,5391636
268,Georgia,GEO,2000,4265172
268,Georgia,GEO,2010,3836831
268,Georgia,GEO,2020,3765912
270,Gambia,GMB,1990,1040616
270,Gambia,GMB,2000,1437539
270,Gambia,GMB,2010,1937275
270,Gambia,GMB,2020,2573995
275,State of Palestine,PSE,1990,2124609
275,State of Palestine,PSE,2000,3139954
275,State of Palestine,PSE,2010,3992278
275,State of Palestine,PSE,2020,5019402
276,Germany,DEU,1990,79370196
276,Germany,DEU,2000,81551677
276,Germany,DEU,2010,81325090
276,Germany,DEU,2020,83328988
288,Ghana,GHA,1990,15446982
288,Ghana,GHA,2000,19665502
288,Ghana,GHA,2010,25574719
288,Ghana,GHA,2020,32180402
292,Gibraltar,GIB,1990,27317
292,Gibraltar,GIB,2000,27742
292,Gibraltar,GIB,2010,31262
292,Gibraltar,GIB,2020,32709
296,Kiribati,KIR,1990,75124
296,Kiribati,KIR,2000,88826
296,Kiribati,KIR,2010,107995
296,Kiribati,KIR,2020,126464
300,Greece,GRC,1990,10302255
300,Greece,GRC,2000,11038109
300,Greece,GRC,2010,11033783
300,Greece,GRC,2020,10512232
304,Greenland,GRL,1990,55599
304,Greenland,GRL,2000,56184
304,Greenland,GRL,2010,56351
304,Greenland,GRL,2020,56027
308,Grenada,GRD,1990,99047
308,Grenada,GRD,2000,107432
308,Grenada,GRD,2010,114039
308,Grenada,GRD,2020,123663
312,Guadeloupe,GLP,1990,391951
312,Guadeloupe,GLP,2000,424067
312,Guadeloupe,GLP,2010,403072
312,Guadeloupe,GLP,2020,395642
316,Guam,GUM,1990,138264
316,Guam,GUM,2000,160188
316,Guam,GUM,2010,164905
316,Guam,GUM,2020,169231
320,Guatemala,GTM,1990,9084780
320,Guatemala,GTM,2000,11735894
320,Guatemala,GTM,2010,14543121
320,Guatemala,GTM,2020,17362719
324,Guinea,GIN,1990,6354145
324,Guinea,GIN,2000,8336967
324,Guinea,GIN,2010,10270728
324,Guinea,GIN,2020,13205153
328,Guyana,GUY,1990,747117
328,Guyana,GUY,2000,759051
328,Guyana,GUY,2010,747932
328,Guyana,GUY,2020,797202
332,Haiti,HTI,1990,6925331
332,Haiti,HTI,2000,8360225
332,Haiti,HTI,2010,9842880
332,Haiti,HTI,2020,11306802
340,Honduras,HND,1990,5053234
340,Honduras,HND,2000,6656725
340,Honduras,HND,2010,8450933
340,Honduras,HND,2020,10121763
344,"China, Hong Kong SAR",HKG,1990,5838574
344,"China, Hong Kong SAR",HKG,2000,6731195
344,"China, Hong Kong SAR",HKG,2010,7132438
344,"China, Hong Kong SAR",HKG,2020,7500958
348,Hungary,HUN,1990,10375990
348,Hungary,HUN,2000,10202055
348,Hungary,HUN,2010,9986825
348,Hungary,HUN,2020,9750573
352,Iceland,ISL,1990,255020
352,Iceland,ISL,2000,281462
352,Iceland,ISL,2010,318333
352,Iceland,ISL,2020,366669
356,India,IND,1990,870452165
356,India,IND,2000,1059633675
356,India,IND,2010,1240613620
356,India,IND,2020,1396387127
360,Indonesia,IDN,1990,182159874
360,Indonesia,IDN,2000,214072422
360,Indonesia,IDN,2010,244016173
360,Indonesia,IDN,2020,271857971
364,Iran (Islamic Republic of),IRN,1990,55793629
364,Iran (Islamic Republic of),IRN,2000,65544383
364,Iran (Islamic Republic of),IRN,2010,75373855
364,Iran (Islamic Republic of),IRN,2020,87290193
368,Iraq,IRQ,1990,17658382
368,Iraq,IRQ,2000,24628858
368,Iraq,IRQ,2010,31264875
368,Iraq,IRQ,2020,42556984
372,Ireland,IRL,1990,3485375
372,Ireland,IRL,2000,3768951
372,Ireland,IRL,2010,4524585
372,Ireland,IRL,2020,4946119
376,Israel,ISR,1990,4803254
376,Israel,ISR,2000,6116958
376,Israel,ISR,2010,7328445
376,Israel,ISR,2020,8757490
380,Italy,ITA,1990,56756561
380,Italy,ITA,2000,56966398
380,Italy,ITA,2010,59822450
380,Italy,ITA,2020,59500579
384,Côte d'Ivoire,CIV,1990,11910541
384,Côte d'Ivoire,CIV,2000,16799670
384,Côte d'Ivoire,CIV,2010,21120042
384,Côte d'Ivoire,CIV,2020,26811791
388,Jamaica,JAM,1990,2392030
388,Jamaica,JAM,2000,2612205
388,Jamaica,JAM,2010,2733896
388,Jamaica,JAM,2020,2820436
392,Japan,JPN,1990,123686321
392,Japan,JPN,2000,126803861
392,Japan,JPN,2010,128105431
392,Japan,JPN,2020,125244761
398,Kazakhstan,KAZ,1990,16866563
398,Kazakhstan,KAZ,2000,15236253
398,Kazakhstan,KAZ,2010,16627837
398,Kazakhstan,KAZ,2020,18979243
400,Jordan,JOR,1990,3480587
400,Jordan,JOR,2000,5056174
400,Jordan,JOR,2010,6931259
400,Jordan,JOR,2020,10928721
404,Kenya,KEN,1990,23162270
404,Kenya,KEN,2000,30851606
404,Kenya,KEN,2010,41517896
404,Kenya,KEN,2020,51985780
408,Dem. People's Rep. of Korea,PRK,1990,20799524
408,Dem. People's Rep. of Korea,PRK,2000,23367060
408,Dem. People's Rep. of Korea,PRK,2010,24686436
408,Dem. People's Rep. of Korea,PRK,2020,25867467
410,Republic of Korea,KOR,1990,44120039
410,Republic of Korea,KOR,2000,46788591
410,Republic of Korea,KOR,2010,48813042
410,Republic of Korea,KOR,2020,51844691
412,Kosovo (under UNSC res. 1244),XKX,1990,1964986
412,Kosovo (under UNSC res. 1244),XKX,2000,1823287
412,Kosovo (under UNSC res. 1244),XKX,2010,1792563
412,Kosovo (under UNSC res. 1244),XKX,2020,1670699
414,Kuwait,KWT,1990,1674938
414,Kuwait,KWT,2000,1934902
414,Kuwait,KWT,2010,2943357
414,Kuwait,KWT,2020,4360445
417,Kyrgyzstan,KGZ,1990,4394734
417,Kyrgyzstan,KGZ,2000,4935182
417,Kyrgyzstan,KGZ,2010,5483774
417,Kyrgyzstan,KGZ,2020,6424874
418,Lao People's Dem. Republic,LAO,1990,4314443
418,Lao People's Dem. Republic,LAO,2000,5430853
418,Lao People's Dem. Republic,LAO,2010,6323419
418,Lao People's Dem. Republic,LAO,2020,7319399
422,Lebanon,LBN,1990,3593700
422,Lebanon,LBN,2000,4320642
422,Lebanon,LBN,2010,4995800
422,Lebanon,LBN,2020,5662924
426,Lesotho,LSO,1990,1798997
426,Lesotho,LSO,2000,1998630
426,Lesotho,LSO,2010,2022747
426,Lesotho,LSO,2020,2254100
428,Latvia,LVA,1990,2689391
428,Latvia,LVA,2000,2392530
428,Latvia,LVA,2010,2101531
428,Latvia,LVA,2020,1897052
430,Liberia,LBR,1990,2209731
430,Liberia,LBR,2000,2895224
430,Liberia,LBR,2010,4019956
430,Liberia,LBR,2020,5087585
434,Libya,LBY,1990,4236983
434,Libya,LBY,2000,5154790
434,Libya,LBY,2010,6491988
434,Libya,LBY,2020,6653942
